START
FRAME f=264 fc=208 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=265 fc=209 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=266 fc=210 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=267 fc=211 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=268 fc=212 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=269 fc=213 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=270 fc=214 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=271 fc=215 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=272 fc=216 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=273 fc=217 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=274 fc=218 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=275 fc=219 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=276 fc=220 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=277 fc=221 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=278 fc=222 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=279 fc=223 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=280 fc=224 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=281 fc=225 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=282 fc=226 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=283 fc=227 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=284 fc=228 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=285 fc=229 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=286 fc=230 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=287 fc=231 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=288 fc=232 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=289 fc=233 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=290 fc=234 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
