START
f=286 fc=242 room=4 same=0 px=8 py=88
f=287 fc=243 room=4 same=0 px=8 py=85
f=288 fc=244 room=4 same=0 px=8 py=85
f=289 fc=245 room=4 same=0 px=8 py=83
f=290 fc=246 room=4 same=0 px=8 py=83
f=291 fc=247 room=4 same=0 px=8 py=81
f=292 fc=248 room=4 same=0 px=8 py=81
f=293 fc=249 room=4 same=0 px=8 py=81
f=294 fc=250 room=4 same=0 px=8 py=81
f=295 fc=251 room=4 same=0 px=8 py=79
f=296 fc=252 room=4 same=0 px=8 py=79
f=297 fc=253 room=4 same=0 px=8 py=79
f=298 fc=254 room=4 same=0 px=8 py=79
f=299 fc=255 room=4 same=0 px=8 py=79
f=300 fc=256 room=4 same=0 px=8 py=79
f=301 fc=257 room=4 same=0 px=8 py=79
f=302 fc=258 room=4 same=0 px=8 py=79
f=303 fc=259 room=4 same=0 px=8 py=79
f=304 fc=260 room=4 same=0 px=8 py=79
f=305 fc=261 room=4 same=0 px=8 py=79
f=306 fc=262 room=4 same=0 px=8 py=79
f=307 fc=263 room=4 same=0 px=8 py=79
f=308 fc=264 room=4 same=0 px=8 py=79
f=309 fc=265 room=4 same=0 px=8 py=81
f=310 fc=266 room=4 same=0 px=8 py=81
f=311 fc=267 room=4 same=0 px=8 py=81
f=312 fc=268 room=4 same=0 px=8 py=81
f=313 fc=269 room=4 same=0 px=8 py=83
f=314 fc=270 room=4 same=0 px=8 py=83
f=315 fc=271 room=4 same=0 px=8 py=85
f=316 fc=272 room=4 same=0 px=8 py=85
f=317 fc=273 room=4 same=0 px=8 py=88
f=318 fc=274 room=4 same=0 px=8 py=88
f=319 fc=275 room=4 same=0 px=8 py=90
f=320 fc=276 room=4 same=0 px=8 py=90
f=321 fc=277 room=4 same=0 px=8 py=93
f=322 fc=278 room=4 same=0 px=8 py=93
f=323 fc=279 room=4 same=0 px=8 py=96
f=324 fc=280 room=4 same=0 px=8 py=96
f=325 fc=281 room=4 same=0 px=8 py=96
f=326 fc=282 room=4 same=0 px=8 py=96
f=327 fc=283 room=4 same=0 px=8 py=96
f=328 fc=284 room=4 same=0 px=8 py=96
f=329 fc=285 room=4 same=0 px=8 py=96
f=330 fc=286 room=4 same=0 px=8 py=96
f=331 fc=287 room=4 same=0 px=8 py=96
f=332 fc=288 room=4 same=0 px=8 py=96
f=333 fc=289 room=4 same=0 px=8 py=96
f=334 fc=290 room=4 same=0 px=8 py=96
f=335 fc=291 room=4 same=0 px=8 py=96
f=336 fc=292 room=4 same=0 px=8 py=96
f=337 fc=293 room=4 same=0 px=8 py=96
f=338 fc=294 room=4 same=0 px=8 py=96
f=339 fc=295 room=4 same=0 px=8 py=96
f=340 fc=296 room=4 same=0 px=8 py=96
f=341 fc=297 room=4 same=0 px=8 py=93
f=342 fc=298 room=4 same=0 px=8 py=93
f=343 fc=299 room=4 same=0 px=8 py=90
f=344 fc=300 room=4 same=0 px=8 py=90
f=345 fc=301 room=4 same=0 px=8 py=88
f=346 fc=302 room=4 same=0 px=8 py=88
f=347 fc=303 room=4 same=0 px=8 py=85
f=348 fc=304 room=4 same=0 px=8 py=85
f=349 fc=305 room=4 same=0 px=8 py=83
f=350 fc=306 room=4 same=0 px=8 py=83
f=351 fc=307 room=4 same=0 px=8 py=81
f=352 fc=308 room=4 same=0 px=8 py=81
f=353 fc=309 room=4 same=0 px=8 py=81
f=354 fc=310 room=4 same=0 px=8 py=81
f=355 fc=311 room=4 same=0 px=8 py=79
f=356 fc=312 room=4 same=0 px=8 py=79
f=357 fc=313 room=4 same=0 px=8 py=79
f=358 fc=314 room=4 same=0 px=8 py=79
f=359 fc=315 room=4 same=0 px=8 py=79
f=360 fc=316 room=4 same=0 px=8 py=79
f=361 fc=317 room=4 same=0 px=8 py=79
f=362 fc=318 room=4 same=0 px=8 py=79
f=363 fc=319 room=4 same=0 px=8 py=79
f=364 fc=320 room=4 same=0 px=8 py=79
f=365 fc=321 room=4 same=0 px=8 py=79
f=366 fc=322 room=4 same=0 px=8 py=79
f=367 fc=323 room=4 same=0 px=8 py=79
f=368 fc=324 room=4 same=0 px=8 py=79
f=369 fc=325 room=4 same=0 px=8 py=81
f=370 fc=326 room=4 same=0 px=8 py=81
f=371 fc=327 room=4 same=0 px=8 py=83
f=372 fc=328 room=4 same=0 px=8 py=83
f=373 fc=329 room=4 same=0 px=8 py=83
f=374 fc=330 room=4 same=0 px=8 py=83
f=375 fc=331 room=4 same=0 px=8 py=86
f=376 fc=332 room=4 same=0 px=8 py=86
f=377 fc=333 room=4 same=0 px=8 py=88
f=378 fc=334 room=4 same=0 px=8 py=88
f=379 fc=335 room=4 same=0 px=8 py=91
f=380 fc=336 room=4 same=0 px=8 py=91
f=381 fc=337 room=4 same=0 px=8 py=93
f=382 fc=338 room=4 same=0 px=8 py=93
f=383 fc=339 room=4 same=0 px=8 py=96
f=384 fc=340 room=4 same=0 px=8 py=96
f=385 fc=341 room=4 same=0 px=8 py=96
f=386 fc=342 room=4 same=0 px=8 py=96
f=387 fc=343 room=4 same=0 px=8 py=96
f=388 fc=344 room=4 same=0 px=8 py=96
