START
f=2160 fc=2104 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2190 fc=2134 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2220 fc=2164 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2250 fc=2194 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2280 fc=2224 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2310 fc=2254 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2340 fc=2284 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2370 fc=2314 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2400 fc=2344 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2430 fc=2374 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2460 fc=2404 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2490 fc=2434 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2520 fc=2464 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2550 fc=2494 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2580 fc=2524 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2610 fc=2554 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2640 fc=2584 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2670 fc=2614 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2700 fc=2644 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2730 fc=2674 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2760 fc=2704 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2790 fc=2734 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2820 fc=2764 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2850 fc=2794 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2880 fc=2824 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2910 fc=2854 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2940 fc=2884 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=2970 fc=2914 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=3000 fc=2944 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
TIMEOUT
