START
TRACE f=1 fc=65535 room=0 title=0 timer=0 state=00 lo=00 bank=FF sp=FF stk=FF,FF,FF,FF k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=201 fc=145 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=202 fc=146 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=203 fc=147 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=204 fc=148 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=205 fc=149 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=206 fc=150 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=207 fc=151 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=208 fc=152 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=209 fc=153 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=210 fc=154 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=211 fc=155 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=212 fc=156 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=213 fc=157 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=214 fc=158 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=215 fc=159 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=216 fc=160 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=217 fc=161 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=218 fc=162 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=219 fc=163 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=220 fc=164 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=240 fc=184 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
DONE f=260 fc=204 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
