START
ROOM12 frame=522 fc=466
f=792 fc=736 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=802 fc=746 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=812 fc=756 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=822 fc=766 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=832 fc=776 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=842 fc=786 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=852 fc=796 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=862 fc=806 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=872 fc=816 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=882 fc=826 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=892 fc=836 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=902 fc=846 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=912 fc=856 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=922 fc=866 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=932 fc=876 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=942 fc=886 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=952 fc=896 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=962 fc=906 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=972 fc=916 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=982 fc=926 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=992 fc=936 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1002 fc=946 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1012 fc=956 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1022 fc=966 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1032 fc=976 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1042 fc=986 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1052 fc=996 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1062 fc=1006 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1072 fc=1016 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1082 fc=1026 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1092 fc=1036 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1102 fc=1046 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1112 fc=1056 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1122 fc=1066 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=1132 fc=1076 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
