START
f=2160 fc=1768 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2190 fc=1798 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2220 fc=1828 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2250 fc=1858 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2280 fc=1888 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2310 fc=1918 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2340 fc=1948 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2370 fc=1978 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2400 fc=2008 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
TIMEOUT
