RUNNING
ROOM f=1 fc=65535 room=0 px=-1 py=-1 st=00 a0=00 a1=00 a2=00
TRACE f=230 fc=174 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=231 fc=175 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=232 fc=176 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=233 fc=177 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=234 fc=178 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=235 fc=179 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=236 fc=180 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=237 fc=181 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=238 fc=182 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=239 fc=183 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=240 fc=184 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=241 fc=185 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=242 fc=186 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=243 fc=187 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=244 fc=188 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=245 fc=189 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=246 fc=190 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=247 fc=191 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=248 fc=192 room=8 px=8 py=112 st=B8 a0=2C a1=32 a2=01
TRACE f=249 fc=193 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=250 fc=194 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=251 fc=195 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=252 fc=196 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=253 fc=197 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=254 fc=198 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=255 fc=199 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=256 fc=200 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=257 fc=201 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=258 fc=202 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=259 fc=203 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=260 fc=204 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=261 fc=205 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=262 fc=206 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=263 fc=207 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=264 fc=208 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=265 fc=209 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=266 fc=210 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=267 fc=211 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=268 fc=212 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=269 fc=213 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=270 fc=214 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=271 fc=215 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=272 fc=216 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=273 fc=217 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=274 fc=218 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=275 fc=219 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=276 fc=220 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=277 fc=221 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=278 fc=222 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=279 fc=223 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=280 fc=224 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=281 fc=225 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=282 fc=226 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=283 fc=227 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=284 fc=228 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=285 fc=229 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=286 fc=230 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=287 fc=231 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=288 fc=232 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=289 fc=233 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=290 fc=234 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=291 fc=235 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=292 fc=236 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=293 fc=237 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
