RUNNING
TRACE frame=383 fc=330 room=1 a=false x=8 y=96 same=0
TRACE frame=384 fc=331 room=1 a=false x=8 y=96 same=0
TRACE frame=385 fc=332 room=1 a=false x=8 y=96 same=0
TRACE frame=386 fc=333 room=1 a=false x=8 y=96 same=0
TRACE frame=387 fc=334 room=1 a=false x=8 y=96 same=0
TRACE frame=388 fc=335 room=1 a=false x=8 y=96 same=0
TRACE frame=389 fc=336 room=1 a=false x=8 y=96 same=0
TRACE frame=390 fc=337 room=1 a=false x=8 y=96 same=0
TRACE frame=391 fc=338 room=1 a=false x=8 y=96 same=0
TRACE frame=392 fc=339 room=1 a=false x=8 y=96 same=0
TRACE frame=393 fc=340 room=1 a=false x=8 y=96 same=0
TRACE frame=394 fc=341 room=1 a=false x=8 y=96 same=0
TRACE frame=395 fc=342 room=1 a=false x=8 y=96 same=0
TRACE frame=396 fc=343 room=1 a=false x=8 y=96 same=0
TRACE frame=397 fc=344 room=1 a=false x=8 y=96 same=0
TRACE frame=398 fc=345 room=1 a=false x=8 y=96 same=0
TRACE frame=399 fc=346 room=1 a=false x=8 y=96 same=0
TRACE frame=400 fc=347 room=1 a=false x=8 y=96 same=0
TRACE frame=401 fc=348 room=1 a=false x=8 y=96 same=0
TRACE frame=402 fc=349 room=1 a=false x=8 y=96 same=0
TRACE frame=403 fc=350 room=1 a=false x=8 y=96 same=0
TRACE frame=404 fc=351 room=1 a=false x=8 y=96 same=0
TRACE frame=405 fc=352 room=1 a=false x=8 y=96 same=0
TRACE frame=406 fc=353 room=1 a=false x=8 y=96 same=0
TRACE frame=407 fc=354 room=1 a=false x=8 y=96 same=0
TRACE frame=408 fc=355 room=1 a=false x=8 y=96 same=0
TRACE frame=409 fc=356 room=1 a=false x=8 y=96 same=0
TRACE frame=410 fc=357 room=1 a=false x=8 y=96 same=0
TRACE frame=411 fc=358 room=1 a=false x=8 y=96 same=0
TRACE frame=412 fc=359 room=1 a=false x=8 y=96 same=0
TRACE frame=413 fc=360 room=1 a=false x=8 y=96 same=0
TRACE frame=414 fc=361 room=1 a=false x=8 y=96 same=0
TRACE frame=415 fc=362 room=1 a=false x=8 y=96 same=0
TRACE frame=416 fc=363 room=1 a=false x=8 y=96 same=0
TRACE frame=417 fc=364 room=1 a=false x=8 y=96 same=0
TRACE frame=418 fc=365 room=1 a=false x=8 y=96 same=0
TRACE frame=419 fc=366 room=1 a=false x=8 y=96 same=0
SHOT_POST_A frame=420 fc=367 room=1 x=8 y=96
TRACE frame=420 fc=367 room=1 a=false x=8 y=96 same=0
TRACE frame=421 fc=368 room=1 a=false x=8 y=96 same=0
TRACE frame=422 fc=369 room=1 a=false x=8 y=96 same=0
TRACE frame=423 fc=370 room=1 a=false x=8 y=96 same=0
TRACE frame=424 fc=371 room=1 a=false x=8 y=96 same=0
TRACE frame=425 fc=372 room=1 a=false x=8 y=96 same=0
TRACE frame=426 fc=373 room=1 a=false x=8 y=96 same=0
