frame,pitch,env,vol,srcn
308,3819,127,18,7
309,3819,127,18,7
310,3819,127,18,7
311,6422,127,18,7
312,6422,127,18,7
313,6422,127,18,7
314,6422,127,18,7
315,6422,127,18,7
316,6422,127,18,7
317,6422,127,18,7
318,6422,127,18,7
319,1909,127,90,7
320,1909,127,90,7
321,1909,127,90,7
322,1909,127,90,7
323,1909,127,90,7
324,1909,127,90,7
325,1909,127,90,7
326,3211,127,90,7
327,3211,127,90,7
328,3211,127,90,7
329,3211,127,90,7
330,3211,127,90,7
331,3211,127,90,7
332,3211,127,90,7
333,3211,127,90,7
334,1909,127,54,7
335,1909,127,54,7
336,1909,127,54,7
337,1909,127,54,7
338,1909,127,54,7
339,1909,127,54,7
340,1909,127,54,7
341,1909,127,54,7
342,3211,127,54,7
343,3211,127,54,7
344,3211,127,54,7
345,3211,127,54,7
346,3211,127,54,7
347,3211,127,54,7
348,3211,127,54,7
349,3211,127,54,7
350,1430,127,90,7
351,1430,127,90,7
352,1430,127,90,7
353,1430,127,90,7
354,1430,127,90,7
355,1430,127,90,7
356,1430,127,90,7
357,1430,127,90,7
358,2143,127,90,7
359,2143,127,90,7
360,2143,127,90,7
361,2143,127,90,7
362,2143,127,90,7
363,2143,127,90,7
364,2143,127,90,7
365,2143,127,90,7
366,1430,127,54,7
367,1430,127,54,7
368,1430,127,54,7
369,1430,127,54,7
370,1430,127,54,7
371,1430,127,54,7
372,1430,127,54,7
373,1430,127,54,7
374,2143,127,54,7
375,2143,127,54,7
376,2143,127,54,7
377,2143,127,54,7
378,2143,127,54,7
379,2143,127,54,7
380,2143,127,54,7
381,2143,127,54,7
382,1606,127,90,7
383,1606,127,90,7
384,1606,127,90,7
385,1606,127,90,7
386,1606,127,90,7
387,1606,127,90,7
388,1606,127,90,7
389,1606,127,90,7
390,2549,127,90,7
391,2549,127,90,7
392,2549,127,90,7
393,2549,127,90,7
394,2549,127,90,7
395,2549,127,90,7
396,2549,127,90,7
397,2549,127,90,7
398,1606,127,54,7
399,1606,127,54,7
400,1606,127,54,7
401,1606,127,54,7
402,1606,127,54,7
403,1606,127,54,7
404,1606,127,54,7
405,1606,127,54,7
406,2549,127,54,7
407,2549,127,54,7
408,2549,127,54,7
409,2549,127,54,7
410,2549,127,54,7
411,2549,127,54,7
412,2549,127,54,7
413,1606,127,36,7
