frame,pitch,env,vol,srcn
1,5722,0,0,0
2,5722,0,0,0
3,5722,0,0,0
4,5722,0,0,0
5,5722,0,0,0
6,5722,0,0,0
7,5722,0,0,0
8,5722,0,0,0
9,5722,0,0,0
10,5722,0,0,0
11,5722,0,0,0
12,5722,0,0,0
13,5722,0,0,0
14,5722,0,0,0
15,5722,0,0,0
16,5722,0,0,0
17,5722,0,0,0
18,5722,0,0,0
19,5722,0,0,0
20,5722,0,0,0
21,5722,0,0,0
22,5722,0,0,0
23,5722,0,0,0
24,5722,0,0,0
25,5722,0,0,0
26,5722,0,0,0
27,5722,0,0,0
28,5722,0,0,0
29,5722,0,0,0
30,5722,0,0,0
31,5722,0,0,0
32,5722,0,0,0
33,5722,0,0,0
34,5722,0,0,0
35,5722,0,0,0
36,5722,0,0,0
37,5722,0,0,0
38,5722,0,0,0
39,5722,0,0,0
40,5722,0,0,0
41,5722,0,0,0
42,5722,0,0,0
43,5722,0,0,0
44,5722,0,0,0
45,5722,0,0,0
46,5722,0,0,0
47,5722,0,0,0
48,5722,0,0,0
49,5722,0,0,0
50,5722,0,0,0
51,5722,0,0,0
52,5722,0,0,0
53,637,127,126,0
54,637,127,126,0
55,1515,127,126,0
56,1515,127,126,0
57,758,127,126,0
58,758,127,126,0
59,758,127,126,0
60,1909,127,126,0
61,1909,127,126,0
62,1011,127,126,0
63,1011,127,126,0
64,2406,127,126,0
65,2406,127,126,0
66,1274,0,108,0
67,1274,127,108,0
68,1274,127,108,0
69,3402,127,108,0
70,3402,127,108,0
71,1802,127,90,0
72,1802,127,90,0
73,4541,127,90,0
74,4541,127,90,0
75,4541,127,90,0
76,2549,127,72,0
77,2549,127,72,0
78,6062,127,72,0
79,6062,127,72,0
80,3211,127,54,0
81,3211,127,54,0
82,3211,127,54,0
83,7638,127,54,0
84,7638,127,54,0
85,4286,127,36,0
86,4286,127,36,0
87,9623,127,36,0
88,9623,127,36,0
89,9623,127,36,0
90,5722,127,18,0
91,5722,127,18,0
92,5722,38,18,0
93,5722,0,18,0
94,5722,0,18,0
95,5722,0,18,0
96,5722,0,18,0
97,5722,0,18,0
98,5722,0,18,0
99,5722,0,18,0
100,5722,0,18,0
101,5722,0,18,0
102,5722,0,18,0
103,5722,0,18,0
104,5722,0,18,0
105,5722,0,18,0
106,5722,0,18,0
107,5722,0,18,0
108,5722,0,18,0
109,5722,0,18,0
110,5722,0,18,0
111,5722,0,18,0
112,5722,0,18,0
113,5722,0,18,0
114,5722,0,18,0
115,5722,0,18,0
116,5722,0,18,0
117,5722,0,18,0
118,5722,0,18,0
119,5722,0,18,0
120,5722,0,18,0
121,5722,0,18,0
122,5722,0,18,0
123,5722,0,18,0
124,5722,0,18,0
125,5722,0,18,0
126,5722,0,18,0
127,5722,0,18,0
128,5722,0,18,0
129,5722,0,18,0
130,5722,0,18,0
131,5722,0,18,0
132,5722,0,18,0
133,5722,0,18,0
134,5722,0,18,0
135,5722,0,18,0
136,5722,0,18,0
137,5722,0,18,0
138,5722,0,18,0
139,5722,0,18,0
140,5722,0,18,0
141,5722,0,18,0
142,5722,0,18,0
143,5722,0,18,0
144,5722,0,18,0
145,5722,0,18,0
146,5722,0,18,0
147,5722,0,18,0
148,5722,0,18,0
149,5722,0,18,0
150,5722,0,18,0
151,5722,0,18,0
152,5722,0,18,0
153,5722,0,18,0
154,5722,0,18,0
155,5722,0,18,0
156,5722,0,18,0
157,5722,0,18,0
158,5722,0,18,0
159,5722,0,18,0
160,5722,0,18,0
161,5722,0,18,0
162,5722,0,18,0
163,5722,0,18,0
164,5722,0,18,0
165,5722,0,18,0
166,5722,0,18,0
167,5722,0,18,0
168,5722,0,18,0
169,5722,0,18,0
170,5722,0,18,0
171,5722,0,18,0
172,5722,0,18,0
173,5722,0,18,0
174,5722,0,18,0
175,5722,0,18,0
176,5722,0,18,0
177,5722,0,18,0
178,5722,0,18,0
179,5722,0,18,0
180,5722,0,18,0
181,5722,0,18,0
182,5722,0,18,0
183,5722,0,18,0
184,5722,0,18,0
185,5722,0,18,0
186,5722,0,18,0
187,5722,0,18,0
188,5722,0,18,0
189,5722,0,18,0
190,5722,0,18,0
191,5722,0,18,0
192,5722,0,18,0
193,5722,0,18,0
194,5722,0,18,0
195,5722,0,18,0
196,5722,0,18,0
197,5722,0,18,0
198,5722,0,18,0
199,5722,0,18,0
200,5722,0,18,0
201,5722,0,18,0
202,5722,0,18,0
203,5722,0,18,0
204,5722,0,18,0
205,5722,0,18,0
206,5722,0,18,0
207,5722,0,18,0
208,5722,0,18,0
209,5722,0,18,0
210,5722,0,18,0
211,5722,0,18,0
212,5722,0,18,0
213,5722,0,18,0
214,5722,0,18,0
215,5722,0,18,0
216,5722,0,18,0
217,5722,0,18,0
218,5722,0,18,0
219,5722,0,18,0
220,5722,0,18,0
221,5722,0,18,0
222,5722,0,18,0
223,5722,0,18,0
224,5722,0,18,0
225,5722,0,18,0
226,5722,0,18,0
227,5722,0,18,0
228,5722,0,18,0
229,5722,0,18,0
230,5722,0,18,0
231,5722,0,18,0
232,5722,0,18,0
233,5722,0,18,0
234,5722,0,18,0
235,5722,0,18,0
236,5722,0,18,0
237,5722,0,18,0
238,5722,0,18,0
239,5722,0,18,0
240,5722,0,18,0
241,5722,0,18,0
242,5722,0,18,0
243,5722,0,18,0
244,5722,0,18,0
245,5722,0,18,0
246,5722,0,18,0
247,5722,0,18,0
248,5722,0,18,0
249,5722,0,18,0
250,5722,0,18,0
251,5722,0,18,0
252,5722,0,18,0
253,5722,0,18,0
254,5722,0,18,0
255,5722,0,18,0
256,5722,0,18,0
257,5722,0,18,0
258,5722,0,18,0
259,5722,0,18,0
260,5722,0,18,0
261,5722,0,18,0
262,5722,0,18,0
263,5722,0,18,0
264,5722,0,18,0
265,5722,0,18,0
266,5722,0,18,0
267,5722,0,18,0
268,5722,0,18,0
269,5722,0,18,0
270,5722,0,18,0
271,5722,0,18,0
272,5722,0,18,0
273,5722,0,18,0
274,5722,0,18,0
275,5722,0,18,0
276,5722,0,18,0
277,5722,0,18,0
278,5722,0,18,0
279,5722,0,18,0
280,5722,0,18,0
281,5722,0,18,0
282,5722,0,18,0
283,5722,0,18,0
284,5722,0,18,0
285,5722,0,18,0
286,5722,0,18,0
287,5722,0,18,0
288,5722,0,18,0
289,5722,0,18,0
290,5722,0,18,0
291,5722,0,18,0
292,5722,0,18,0
293,5722,0,18,0
294,5722,0,18,0
295,5722,0,18,0
296,5722,0,18,0
297,5722,0,18,0
298,5722,0,18,0
299,5722,0,18,0
300,5722,0,18,0
301,5722,0,18,0
302,5722,0,18,0
303,5722,0,18,0
304,5722,0,18,0
305,5722,0,18,0
306,5722,0,18,0
307,5722,0,18,0
308,5722,0,18,0
309,5722,0,18,0
310,5722,0,18,0
