frame,pitch,env,vol,srcn
1,477,0,0,0
2,477,0,0,0
3,477,127,126,0
4,477,127,126,0
5,477,127,126,0
6,477,127,126,0
7,477,127,126,0
8,477,127,126,0
9,477,127,126,0
10,477,127,126,0
11,477,127,108,0
12,477,127,108,0
13,477,127,108,0
14,477,127,108,0
15,477,127,108,0
16,477,127,108,0
17,477,127,108,0
18,477,127,108,0
19,358,127,90,0
20,358,127,90,0
21,358,127,90,0
22,358,127,90,0
23,358,127,90,0
24,358,127,90,0
25,358,127,90,0
26,358,127,90,0
27,358,127,72,0
28,358,127,72,0
29,358,127,72,0
30,358,127,72,0
31,358,127,72,0
32,358,127,72,0
33,358,127,72,0
34,358,127,72,0
35,319,127,126,0
36,319,127,126,0
37,319,127,126,0
38,319,127,126,0
39,319,127,126,0
40,319,127,126,0
41,319,127,126,0
42,319,127,126,0
43,319,127,108,0
44,319,127,108,0
45,319,127,108,0
46,319,127,108,0
47,319,127,108,0
48,319,127,108,0
49,319,127,108,0
50,319,127,108,0
51,319,0,108,0
52,319,0,108,0
53,319,0,108,0
54,319,0,108,0
55,319,0,108,0
56,319,0,108,0
57,319,0,108,0
58,319,0,108,0
59,319,127,90,0
60,319,127,90,0
61,319,127,90,0
62,319,127,90,0
63,319,127,90,0
64,319,127,90,0
65,319,127,90,0
66,319,127,90,0
67,536,127,126,0
68,536,127,126,0
69,536,127,126,0
70,536,127,126,0
71,536,127,126,0
72,536,127,126,0
73,536,127,126,0
74,536,127,126,0
75,536,127,108,0
76,536,127,108,0
77,536,127,108,0
78,536,127,108,0
79,536,127,108,0
80,536,127,108,0
81,536,127,108,0
82,715,127,90,0
83,715,127,90,0
84,715,127,90,0
85,715,127,90,0
86,715,127,90,0
87,715,127,90,0
88,715,127,90,0
89,715,127,90,0
90,955,127,126,0
91,955,127,126,0
92,955,127,126,0
93,955,127,126,0
94,955,127,126,0
95,955,127,126,0
96,955,127,126,0
97,955,127,126,0
98,955,127,108,0
99,955,127,108,0
100,955,127,108,0
101,955,127,108,0
102,955,127,108,0
103,955,127,108,0
104,955,127,108,0
105,955,127,108,0
106,637,127,126,0
107,637,127,126,0
108,637,127,126,0
109,637,127,126,0
110,637,127,126,0
111,637,127,126,0
112,637,127,126,0
113,637,127,126,0
114,358,127,90,0
115,358,127,90,0
116,358,127,90,0
117,358,127,90,0
118,358,127,90,0
119,358,127,90,0
120,358,127,90,0
121,358,127,90,0
122,477,127,126,0
123,477,127,126,0
124,477,127,126,0
125,477,127,126,0
126,477,127,126,0
127,477,127,126,0
128,477,127,126,0
129,477,127,126,0
130,358,127,90,0
131,358,127,90,0
132,358,127,90,0
133,358,127,90,0
134,358,127,90,0
135,358,127,90,0
136,358,127,90,0
137,358,127,90,0
138,319,127,90,0
139,319,127,90,0
140,319,127,90,0
141,319,127,90,0
142,319,127,90,0
143,319,127,90,0
144,319,127,90,0
145,319,127,90,0
146,477,127,126,0
147,477,127,126,0
148,477,127,126,0
149,477,127,126,0
150,477,127,126,0
151,477,127,126,0
152,477,127,126,0
153,477,127,126,0
154,477,127,108,0
155,477,127,108,0
156,477,127,108,0
157,477,127,108,0
158,477,127,108,0
159,477,127,108,0
160,477,127,108,0
161,477,90,108,0
162,401,127,126,0
163,401,127,126,0
164,401,127,126,0
165,401,127,126,0
166,401,127,126,0
167,401,127,126,0
168,401,127,126,0
169,401,127,108,0
170,401,127,108,0
171,401,127,108,0
172,401,127,108,0
173,401,127,108,0
174,401,127,108,0
175,401,127,108,0
176,401,127,108,0
177,401,127,90,0
178,401,127,90,0
179,401,127,90,0
180,401,127,90,0
181,401,127,90,0
182,401,127,90,0
183,401,127,90,0
184,401,127,90,0
185,401,25,90,0
186,401,0,90,0
187,401,0,90,0
188,401,0,90,0
189,401,0,90,0
190,401,0,90,0
191,401,0,90,0
192,401,0,90,0
193,401,127,126,0
194,401,127,126,0
195,401,127,126,0
196,401,127,126,0
197,401,127,126,0
198,401,127,126,0
199,401,127,126,0
200,401,127,126,0
201,401,127,108,0
202,401,127,108,0
203,401,127,108,0
204,401,127,108,0
205,401,127,108,0
206,401,127,108,0
207,401,127,108,0
208,401,127,108,0
209,319,127,90,0
210,319,127,90,0
211,319,127,90,0
212,319,127,90,0
213,319,127,90,0
214,319,127,90,0
215,319,127,90,0
216,319,127,90,0
217,637,127,126,0
218,637,127,126,0
219,637,127,126,0
220,637,127,126,0
221,637,127,126,0
222,637,127,126,0
223,637,127,126,0
224,637,127,126,0
225,477,127,126,0
226,477,127,126,0
227,477,127,126,0
228,477,127,126,0
229,477,127,126,0
230,477,127,126,0
231,477,127,126,0
232,477,127,126,0
233,477,127,108,0
234,477,127,108,0
235,477,127,108,0
236,477,127,108,0
237,477,127,108,0
238,477,127,108,0
239,477,127,108,0
240,477,127,90,0
241,477,127,90,0
242,477,127,90,0
243,477,127,90,0
244,477,127,90,0
245,477,127,90,0
246,477,127,90,0
247,477,127,90,0
248,477,96,90,0
249,477,0,90,0
250,477,0,90,0
251,477,0,90,0
252,477,0,90,0
253,477,0,90,0
254,477,0,90,0
255,477,0,90,0
256,477,127,126,0
257,477,127,126,0
258,477,127,126,0
259,477,127,126,0
260,477,127,126,0
261,477,127,126,0
262,477,127,126,0
263,477,127,126,0
264,477,127,108,0
265,477,127,108,0
266,477,127,108,0
267,477,127,108,0
268,477,127,108,0
269,477,127,108,0
270,477,127,108,0
271,477,127,108,0
272,358,127,90,0
273,358,127,90,0
274,358,127,90,0
275,358,127,90,0
276,358,127,90,0
277,358,127,90,0
278,358,127,90,0
279,358,127,90,0
280,358,127,72,0
281,358,127,72,0
282,358,127,72,0
283,358,127,72,0
284,358,127,72,0
285,358,127,72,0
286,358,127,72,0
287,358,127,72,0
288,319,127,126,0
289,319,127,126,0
290,319,127,126,0
291,319,127,126,0
292,319,127,126,0
293,319,127,126,0
294,319,127,126,0
295,319,127,126,0
296,319,127,108,0
297,319,127,108,0
298,319,127,108,0
299,319,127,108,0
300,319,127,108,0
301,319,127,108,0
302,319,127,108,0
303,319,127,108,0
304,319,0,108,0
305,319,0,108,0
306,319,0,108,0
307,319,0,108,0
308,319,0,108,0
309,319,0,108,0
310,319,0,108,0
311,319,0,108,0
312,319,127,90,0
313,319,127,90,0
314,319,127,90,0
315,319,127,90,0
316,319,127,90,0
317,319,127,90,0
318,319,127,90,0
319,319,127,90,0
320,536,127,126,0
321,536,127,126,0
322,536,127,126,0
323,536,127,126,0
324,536,127,126,0
325,536,127,126,0
326,536,127,126,0
327,536,127,126,0
328,536,127,108,0
329,536,127,108,0
330,536,127,108,0
331,536,127,108,0
332,536,127,108,0
333,536,127,108,0
334,536,127,108,0
335,715,127,90,0
336,715,127,90,0
337,715,127,90,0
338,715,127,90,0
339,715,127,90,0
340,715,127,90,0
341,715,127,90,0
342,715,127,90,0
343,955,127,126,0
344,955,127,126,0
345,955,127,126,0
346,955,127,126,0
347,955,127,126,0
348,955,127,126,0
349,955,127,126,0
350,955,127,126,0
351,955,127,108,0
352,955,127,108,0
353,955,127,108,0
354,955,127,108,0
355,955,127,108,0
356,955,127,108,0
357,955,127,108,0
358,955,127,108,0
359,637,127,126,0
360,637,127,126,0
361,637,127,126,0
362,637,127,126,0
363,637,127,126,0
364,637,127,126,0
365,637,127,126,0
366,637,127,126,0
367,358,127,90,0
368,358,127,90,0
369,358,127,90,0
370,358,127,90,0
371,358,127,90,0
372,358,127,90,0
373,358,127,90,0
374,358,127,90,0
375,477,127,126,0
376,477,127,126,0
377,477,127,126,0
378,477,127,126,0
379,477,127,126,0
380,477,127,126,0
381,477,127,126,0
382,477,127,126,0
383,358,127,90,0
384,358,127,90,0
385,358,127,90,0
386,358,127,90,0
387,358,127,90,0
388,358,127,90,0
389,358,127,90,0
390,358,127,90,0
391,319,127,90,0
392,319,127,90,0
393,319,127,90,0
394,319,127,90,0
395,319,127,90,0
396,319,127,90,0
397,319,127,90,0
398,319,127,90,0
399,477,127,126,0
400,477,127,126,0
401,477,127,126,0
402,477,127,126,0
403,477,127,126,0
404,477,127,126,0
405,477,127,126,0
406,477,127,126,0
407,477,127,108,0
408,477,127,108,0
409,477,127,108,0
410,477,127,108,0
411,477,127,108,0
412,477,127,108,0
413,477,127,108,0
414,477,103,108,0
415,477,0,108,0
416,477,0,108,0
417,477,0,108,0
418,477,0,108,0
419,477,0,108,0
420,477,0,108,0
421,477,0,108,0
422,477,0,108,0
423,477,0,108,0
424,477,0,108,0
425,477,0,108,0
426,477,0,108,0
427,477,0,108,0
428,477,0,108,0
429,477,0,108,0
430,477,0,108,0
431,477,0,108,0
432,477,0,108,0
433,477,0,108,0
434,477,0,108,0
435,477,0,108,0
436,477,0,108,0
437,477,0,108,0
438,477,0,108,0
439,477,0,108,0
440,477,0,108,0
441,477,0,108,0
442,477,0,108,0
443,477,0,108,0
444,477,0,108,0
445,477,0,108,0
446,477,0,108,0
447,477,0,108,0
448,477,0,108,0
449,477,0,108,0
450,477,0,108,0
451,477,0,108,0
452,477,0,108,0
453,477,0,108,0
454,477,0,108,0
455,477,0,108,0
456,477,0,108,0
457,477,0,108,0
458,477,0,108,0
459,477,0,108,0
460,477,0,108,0
461,477,0,108,0
462,477,0,108,0
463,477,0,108,0
464,477,0,108,0
465,477,0,108,0
466,477,0,108,0
467,477,0,108,0
468,477,0,108,0
469,477,0,108,0
470,477,0,108,0
471,477,0,108,0
472,477,0,108,0
473,477,0,108,0
474,477,0,108,0
475,477,0,108,0
476,477,0,108,0
477,477,0,108,0
478,477,0,108,0
479,477,0,108,0
480,477,0,108,0
481,477,0,108,0
482,477,0,108,0
483,477,0,108,0
484,477,0,108,0
485,477,0,108,0
486,477,0,108,0
487,477,0,108,0
488,477,0,108,0
489,477,0,108,0
490,477,0,108,0
491,477,0,108,0
492,477,0,108,0
493,477,0,108,0
494,477,0,108,0
495,477,0,108,0
496,477,0,108,0
497,477,0,108,0
498,477,0,108,0
499,477,0,108,0
500,477,0,108,0
501,477,0,108,0
502,477,0,108,0
503,477,0,108,0
504,477,0,108,0
505,477,0,108,0
506,477,0,108,0
507,477,0,108,0
508,477,0,108,0
509,477,0,108,0
510,477,0,108,0
511,477,0,108,0
512,477,0,108,0
513,477,0,108,0
514,477,0,108,0
515,477,0,108,0
516,477,0,108,0
517,477,0,108,0
518,477,0,108,0
519,477,0,108,0
520,477,0,108,0
521,477,0,108,0
522,477,0,108,0
523,477,0,108,0
524,477,0,108,0
525,477,0,108,0
526,477,0,108,0
527,477,0,108,0
528,477,0,108,0
529,477,0,108,0
530,477,0,108,0
531,477,0,108,0
532,477,0,108,0
533,477,0,108,0
534,477,0,108,0
535,477,0,108,0
536,477,0,108,0
537,477,0,108,0
538,477,0,108,0
539,477,0,108,0
540,477,0,108,0
541,477,0,108,0
542,477,0,108,0
543,477,0,108,0
544,477,0,108,0
545,477,0,108,0
546,477,0,108,0
547,477,0,108,0
548,477,0,108,0
549,477,0,108,0
550,477,0,108,0
551,477,0,108,0
552,477,0,108,0
553,477,0,108,0
554,477,0,108,0
555,477,0,108,0
556,477,0,108,0
557,477,0,108,0
558,477,0,108,0
559,477,0,108,0
560,477,0,108,0
561,477,0,108,0
562,477,0,108,0
563,477,0,108,0
564,477,0,108,0
565,477,0,108,0
566,477,0,108,0
567,477,0,108,0
568,477,0,108,0
569,477,0,108,0
570,477,0,108,0
571,477,0,108,0
572,477,0,108,0
573,477,0,108,0
574,477,0,108,0
575,477,0,108,0
576,477,0,108,0
577,477,0,108,0
578,477,0,108,0
579,477,0,108,0
580,477,0,108,0
581,477,0,108,0
582,477,0,108,0
583,477,0,108,0
584,477,0,108,0
585,477,0,108,0
586,477,0,108,0
587,477,0,108,0
588,477,0,108,0
589,477,0,108,0
590,477,0,108,0
591,477,0,108,0
592,477,0,108,0
593,477,0,108,0
594,477,0,108,0
595,477,0,108,0
596,477,0,108,0
597,477,0,108,0
598,477,0,108,0
599,477,0,108,0
600,477,0,108,0
